C,NEMP.WORLD,LFCST_HISTDEMAND,AEMO,PUBLIC,2019/02/17,02:00:01,0000000304522328,,0000000304522327
I,DEMAND,HISTORIC,1,REGIONID,SETTLEMENTDATE,PERIODID,DEMAND
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",1,7286
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",2,7053
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",3,6762
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",4,6511
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",5,6358
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",6,6297
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",7,6282
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",8,6293
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",9,6360
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",10,6422
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",11,6603
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",12,6709
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",13,6888
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",14,7060
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",15,7334
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",16,7468
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",17,7608
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",18,7566
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",19,7617
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",20,7587
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",21,7605
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",22,7656
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",23,7614
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",24,7647
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",25,7600
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",26,7633
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",27,7728
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",28,7817
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",29,7938
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",30,8155
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",31,8320
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",32,8485
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",33,8536
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",34,8624
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",35,8654
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",36,8609
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",37,8505
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",38,8438
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",39,8487
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",40,8432
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",41,8264
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",42,8083
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",43,7938
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",44,7798
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",45,7758
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",46,7514
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",47,7291
D,DEMAND,HISTORIC,1,NSW1,"2019/02/16 00:00:00",48,7135
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",1,6129
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",2,5989
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",3,5855
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",4,5778
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",5,5722
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",6,5667
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",7,5646
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",8,5629
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",9,5595
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",10,5631
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",11,5685
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",12,5671
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",13,5710
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",14,5795
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",15,5870
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",16,5908
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",17,5977
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",18,6016
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",19,6065
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",20,6084
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",21,6133
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",22,6044
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",23,6038
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",24,6054
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",25,6118
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",26,6199
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",27,6255
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",28,6371
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",29,6438
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",30,6557
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",31,6667
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",32,6813
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",33,6954
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",34,7141
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",35,7203
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",36,7279
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",37,7290
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",38,7449
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",39,7460
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",40,7358
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",41,7221
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",42,7023
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",43,6900
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",44,6792
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",45,6682
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",46,6584
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",47,6332
D,DEMAND,HISTORIC,1,QLD1,"2019/02/16 00:00:00",48,6132
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",1,1360
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",2,1312
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",3,1241
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",4,1181
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",5,1159
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",6,1142
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",7,1139
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",8,1131
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",9,1126
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",10,1133
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",11,1144
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",12,1182
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",13,1200
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",14,1233
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",15,1233
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",16,1200
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",17,1160
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",18,1106
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",19,1051
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",20,1008
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",21,962
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",22,934
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",23,912
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",24,899
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",25,906
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",26,914
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",27,927
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",28,947
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",29,973
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",30,1037
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",31,1096
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",32,1183
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",33,1269
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",34,1336
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",35,1404
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",36,1477
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",37,1551
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",38,1580
D,DEMAND,HISTORIC,1,SA1,"2019/02/16 00:00:00",39,1571
