C,NEMP.WORLD,LFCST_HISTDEMAND,AEMO,PUBLIC,2019/02/06,02:00:01,0000000304124568,,0000000304124567
I,DEMAND,HISTORIC,1,REGIONID,SETTLEMENTDATE,PERIODID,DEMAND
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",1,7948
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",2,7702
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",3,7446
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",4,7172
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",5,7045
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",6,6963
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",7,6966
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",8,7060
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",9,7278
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",10,7501
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",11,7942
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",12,8344
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",13,8817
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",14,9176
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",15,9351
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",16,9453
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",17,9595
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",18,9637
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",19,9712
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",20,9755
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",21,9799
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",22,9855
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",23,9878
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",24,9912
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",25,9946
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",26,10061
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",27,10138
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",28,10219
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",29,10351
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",30,10474
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",31,10544
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",32,10615
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",33,10588
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",34,10574
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",35,10384
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",36,10274
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",37,10111
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",38,10018
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",39,9981
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",40,9756
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",41,9501
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",42,9240
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",43,9066
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",44,8780
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",45,8564
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",46,8324
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",47,8085
D,DEMAND,HISTORIC,1,NSW1,"2019/02/05 00:00:00",48,7907
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",1,5923
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",2,5762
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",3,5643
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",4,5572
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",5,5522
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",6,5479
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",7,5492
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",8,5500
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",9,5558
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",10,5613
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",11,5772
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",12,5885
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",13,6196
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",14,6453
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",15,6686
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",16,6795
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",17,6862
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",18,6890
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",19,6851
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",20,6773
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",21,6715
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",22,6694
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",23,6684
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",24,6675
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",25,6716
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",26,6808
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",27,7002
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",28,7214
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",29,7289
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",30,7340
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",31,7400
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",32,7504
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",33,7632
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",34,7798
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",35,7798
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",36,7809
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",37,7766
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",38,7867
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",39,7853
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",40,7729
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",41,7561
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",42,7322
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",43,7140
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",44,6934
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",45,6776
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",46,6622
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",47,6357
D,DEMAND,HISTORIC,1,QLD1,"2019/02/05 00:00:00",48,6127
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",1,1276
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",2,1225
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",3,1169
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",4,1129
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",5,1131
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",6,1111
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",7,1116
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",8,1085
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",9,1081
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",10,1105
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",11,1118
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",12,1227
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",13,1254
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",14,1305
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",15,1295
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",16,1201
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",17,1159
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",18,1102
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",19,1055
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",20,1037
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",21,1047
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",22,1021
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",23,1017
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",24,985
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",25,976
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",26,988
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",27,1016
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",28,1051
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",29,1088
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",30,1150
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",31,1243
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",32,1341
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",33,1465
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",34,1481
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",35,1561
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",36,1639
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",37,1684
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",38,1679
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",39,1671
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",40,1626
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",41,1610
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",42,1566
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",43,1524
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",44,1466
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",45,1414
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",46,1369
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",47,1351
D,DEMAND,HISTORIC,1,SA1,"2019/02/05 00:00:00",48,1489
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",1,952
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",2,931
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",3,923
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",4,913
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",5,913
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",6,898
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",7,907
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",8,900
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",9,902
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",10,921
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",11,966
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",12,1008
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",13,1068
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",14,1102
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",15,1109
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",16,1111
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",17,1114
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",18,1093
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",19,1039
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",20,1018
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",21,1008
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",22,995
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",23,997
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",24,993
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",25,982
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",26,985
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",27,990
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",28,997
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",29,1006
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",30,1007
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",31,1017
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",32,1021
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",33,1035
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",34,1050
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",35,1088
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",36,1099
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",37,1091
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",38,1087
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",39,1060
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",40,1050
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",41,1043
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",42,1018
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",43,998
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",44,965
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",45,944
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",46,921
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",47,911
D,DEMAND,HISTORIC,1,TAS1,"2019/02/05 00:00:00",48,900
D,DEMAND,HISTORIC,1,VIC1,"2019/02/05 00:00:00",1,4173
D,DEMAND,HISTORIC,1,VIC1,"2019/02/05 00:00:00",2,4058
D,DEMAND,HISTORIC,1,VIC1,"2019/02/05 00:00:00",3,4009
D,DEMAND,HISTORIC,1,VIC1,"2019/02/05 00:00:00",4,3896
D,DEMAND,HISTORIC,1,VIC1,"2019/02/05 00:00:00",5,3840
D,DEMAND,HISTORIC,1,VIC1,"2019/02/05 00:00:00",6,3746
D,DEMAND,HISTORIC,1,VIC1,"2019/02/05 00:00:00",7,3799
D,DEMAND,HISTORIC,1,VIC1,"2019/02/05 00:00:00",8,3851
D,DEMAND,HISTORIC,1,VIC1,"2019/02/05 00:00:00",9,3944
D,DEMAND,HISTORIC,1,VIC1,"2019/02/05 00:00:00",10,4075
D,DEMAND,HISTORIC,1,VIC1,"2019/02/05 00:00:00",11,4335
D,DEMAND,HISTORIC,1,VIC1,"2019/02/05 00:00:00",12,4667
D,DEMAND,HISTORIC,1,VIC1,"2019/02/05 00:00:00",13,5010
D,DEMAND,HISTORIC,1,VIC1,"2019/02/05 00:00:00",14,5181
D,DEMAND,HISTORIC,1,VIC1,"2019/02/05 00:00:00",15,5131
D,DEMAND,HISTORIC,1,VIC1,"2019/02/05 00:00:00",16,5102
D,DEMAND,HISTORIC,1,VIC1,"2019/02/05 00:00:00",17,5192
D,DEMAND,HISTORIC,1,VIC1,"2019/02/05 00:00:00",18,5183
D,DEMAND,HISTORIC,1,VIC1,"2019/02/05 00:00:00",19,5152
D,DEMAND,HISTORIC,1,VIC1,"2019/02/05 00:00:00",20,5213
D,DEMAND,HISTORIC,1,VIC1,"2019/02/05 00:00:00",21,5236
D,DEMAND,HISTORIC,1,VIC1,"2019/02/05 00:00:00",22,5269
D,DEMAND,HISTORIC,1,VIC1,"2019/02/05 00:00:00",23,5270
D,DEMAND,HISTORIC,1,VIC1,"2019/02/05 00:00:00",24,5287
D,DEMAND,HISTORIC,1,VIC1,"2019/02/05 00:00:00",25,5290
