C,NEMP.WORLD,LFCST_HISTDEMAND,AEMO,PUBLIC,2019/02/28,02:00:01,0000000304923180,,0000000304923179
I,DEMAND,HISTORIC,1,REGIONID,SETTLEMENTDATE,PERIODID,DEMAND
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",1,7100
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",2,6913
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",3,6652
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",4,6461
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",5,6288
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",6,6251
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",7,6245
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",8,6320
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",9,6505
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",10,6737
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",11,7228
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",12,7675
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",13,7995
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",14,8238
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",15,8283
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",16,8276
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",17,8357
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",18,8424
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",19,8527
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",20,8581
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",21,8584
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",22,8570
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",23,8586
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",24,8603
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",25,8626
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",26,8722
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",27,8794
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",28,8846
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",29,8874
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",30,9013
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",31,9166
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",32,9312
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",33,9339
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",34,9343
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",35,9236
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",36,9212
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",37,9087
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",38,9066
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",39,9035
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",40,8883
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",41,8686
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",42,8468
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",43,8299
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",44,8095
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",45,7959
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",46,7792
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",47,7621
D,DEMAND,HISTORIC,1,NSW1,"2019/02/27 00:00:00",48,7485
D,DEMAND,HISTORIC,1,QLD1,"2019/02/27 00:00:00",1,5883
D,DEMAND,HISTORIC,1,QLD1,"2019/02/27 00:00:00",2,5741
D,DEMAND,HISTORIC,1,QLD1,"2019/02/27 00:00:00",3,5656
D,DEMAND,HISTORIC,1,QLD1,"2019/02/27 00:00:00",4,5599
