,Date,Day_demand,Night_demand,Solar_exposure,Production,day_net,Storage_level_end_of_day,Storage_level_end_of_night
0,2018-12-01,86867.5,68238.0,30.7,2355549.6,2268682.1,168646.6759338379,100408.67593383789
1,2018-12-02,92708.75,71809.5,28.4,2179075.2,2086366.4500000002,169213.9741268158,97404.4741268158
2,2018-12-03,96971.75,63622.25,28.0,2148384.0,2051412.25,169213.9741268158,105591.7241268158
3,2018-12-04,98099.5,60531.0,17.5,1342740.0,1244640.5,169213.9741268158,108682.9741268158
4,2018-12-05,90492.25,58917.25,19.2,1473177.6,1382685.35,169213.9741268158,110296.7241268158
5,2018-12-06,86169.25,58052.25,23.1,1772416.8,1686247.55,169213.9741268158,111161.7241268158
6,2018-12-07,86568.0,56718.5,13.4,1028155.2,941587.2,169213.9741268158,112495.4741268158
7,2018-12-08,80473.0,56425.75,12.5,959099.9999999999,878626.9999999999,169213.9741268158,112788.2241268158
8,2018-12-09,77873.0,56749.75,22.0,1688016.0,1610143.0,169213.9741268158,112464.2241268158
9,2018-12-10,90045.5,59963.75,28.9,2217439.2,2127393.7,169213.9741268158,109250.2241268158
10,2018-12-11,91503.25,61133.0,26.9,2063983.2000000002,1972479.9500000002,169213.9741268158,108080.9741268158
11,2018-12-12,91400.0,61864.0,30.3,2324858.4,2233458.4,169213.9741268158,107349.9741268158
12,2018-12-13,92642.0,62083.0,25.6,1964236.7999999998,1871594.7999999998,169213.9741268158,107130.9741268158
13,2018-12-14,97003.5,62790.25,21.7,1664997.6,1567994.1,169213.9741268158,106423.7241268158
14,2018-12-15,89952.25,61096.75,23.9,1833799.2000000002,1743846.9500000002,169213.9741268158,108117.2241268158
15,2018-12-16,87906.5,58551.25,0.5,38364.0,-49542.5,58574.724126815796,23.4741268157959
16,2018-12-17,94128.0,62123.25,18.8,1442486.4,1348358.4,169213.9741268158,107090.7241268158
17,2018-12-18,95329.5,64158.5,22.1,1695688.8,1600359.3,169213.9741268158,105055.4741268158
18,2018-12-19,98136.25,64608.75,27.0,2071655.9999999998,1973519.7499999998,169213.9741268158,104605.2241268158
