C,NEMP.WORLD,LFCST_HISTDEMAND,AEMO,PUBLIC,2019/01/24,02:00:00,0000000303645078,,0000000303645077
I,DEMAND,HISTORIC,1,REGIONID,SETTLEMENTDATE,PERIODID,DEMAND
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",1,8077
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",2,7812
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",3,7535
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",4,7362
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",5,7174
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",6,7074
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",7,7091
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",8,7124
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",9,7307
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",10,7530
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",11,7948
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",12,8307
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",13,8652
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",14,9000
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",15,9330
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",16,9526
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",17,9713
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",18,9842
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",19,10087
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",20,10394
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",21,10667
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",22,10905
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",23,11070
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",24,11189
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",25,11256
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",26,11316
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",27,11305
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",28,11308
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",29,11132
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",30,10931
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",31,10771
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",32,10694
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",33,10589
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",34,10522
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",35,10230
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",36,10132
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",37,9963
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",38,9793
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",39,9717
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",40,9631
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",41,9418
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",42,9086
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",43,8882
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",44,8613
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",45,8502
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",46,8378
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",47,8089
D,DEMAND,HISTORIC,1,NSW1,"2019/01/23 00:00:00",48,7906
D,DEMAND,HISTORIC,1,QLD1,"2019/01/23 00:00:00",1,6384
