C,NEMP.WORLD,LFCST_HISTDEMAND,AEMO,PUBLIC,2019/10/02,02:00:00,0000000313537024,,0000000313537023
I,DEMAND,HISTORIC,1,REGIONID,SETTLEMENTDATE,PERIODID,DEMAND
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",1,7575
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",2,7409
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",3,7227
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",4,6995
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",5,6716
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",6,6527
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",7,6374
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",8,6330
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",9,6342
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",10,6494
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",11,6777
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",12,6983
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",13,7453
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",14,7755
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",15,7795
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",16,7833
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",17,7809
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",18,7743
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",19,7726
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",20,7666
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",21,7675
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",22,7590
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",23,7457
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",24,7302
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",25,7187
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",26,7100
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",27,7035
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",28,7046
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",29,7061
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",30,7196
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",31,7351
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",32,7499
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",33,7724
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",34,7950
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",35,8251
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",36,8542
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",37,8959
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",38,9105
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",39,8954
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",40,8730
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",41,8561
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",42,8432
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",43,8267
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",44,8082
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",45,8058
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",46,7918
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",47,7781
D,DEMAND,HISTORIC,1,NSW1,"2019/10/01 00:00:00",48,7740
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",1,5600
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",2,5454
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",3,5342
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",4,5285
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",5,5217
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",6,5178
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",7,5178
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",8,5176
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",9,5241
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",10,5322
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",11,5468
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",12,5596
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",13,5841
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",14,5962
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",15,6109
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",16,6077
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",17,6023
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",18,5929
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",19,5858
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",20,5831
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",21,5790
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",22,5695
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",23,5701
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",24,5695
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",25,5670
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",26,5627
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",27,5507
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",28,5618
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",29,5738
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",30,5836
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",31,6008
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",32,6208
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",33,6357
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",34,6517
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",35,6689
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",36,6882
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",37,7023
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",38,7066
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",39,6973
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",40,6836
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",41,6731
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",42,6547
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",43,6390
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",44,6227
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",45,6116
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",46,6034
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",47,5843
D,DEMAND,HISTORIC,1,QLD1,"2019/10/01 00:00:00",48,5619
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",1,1383
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",2,1340
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",3,1278
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",4,1213
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",5,1174
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",6,1168
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",7,1140
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",8,1106
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",9,1108
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",10,1102
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",11,1124
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",12,1139
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",13,1176
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",14,1231
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",15,1250
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",16,1244
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",17,1183
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",18,1092
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",19,982
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",20,872
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",21,804
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",22,750
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",23,719
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",24,717
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",25,713
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",26,719
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",27,732
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",28,752
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",29,786
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",30,825
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",31,882
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",32,963
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",33,1045
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",34,1124
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",35,1226
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",36,1313
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",37,1405
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",38,1449
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",39,1481
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",40,1440
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",41,1402
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",42,1382
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",43,1353
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",44,1310
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",45,1271
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",46,1217
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",47,1175
D,DEMAND,HISTORIC,1,SA1,"2019/10/01 00:00:00",48,1312
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",1,1007
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",2,994
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",3,986
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",4,970
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",5,969
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",6,970
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",7,969
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",8,972
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",9,992
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",10,1010
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",11,1038
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",12,1078
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",13,1141
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",14,1175
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",15,1193
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",16,1200
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",17,1193
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",18,1141
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",19,1127
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",20,1088
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",21,1054
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",22,1021
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",23,985
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",24,971
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",25,961
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",26,952
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",27,965
D,DEMAND,HISTORIC,1,TAS1,"2019/10/01 00:00:00",28,972
