C,NEMP.WORLD,LFCST_HISTDEMAND,AEMO,PUBLIC,2019/04/24,02:00:00,0000000307082275,,0000000307082274
I,DEMAND,HISTORIC,1,REGIONID,SETTLEMENTDATE,PERIODID,DEMAND
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",28,6474
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",29,6530
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",30,6651
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",31,6756
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",32,6871
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",33,6983
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",34,7125
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",35,7256
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",36,7397
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",37,7250
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",38,7296
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",39,7177
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",40,7056
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",41,6973
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",42,6804
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",43,6609
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",44,6419
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",45,6324
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",46,6249
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",47,6035
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",48,5797
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",1,1390
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",2,1337
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",3,1257
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",4,1191
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",5,1145
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",6,1125
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",7,1097
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",8,1072
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",9,1055
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",10,1064
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",11,1071
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",12,1103
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",13,1127
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",14,1185
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",15,1238
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",16,1265
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",17,1260
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",18,1234
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",19,1179
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",20,1101
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",21,1019
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",22,952
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",23,889
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",24,869
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",25,858
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",26,861
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",27,856
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",28,852
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",29,884
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",30,929
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",31,970
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",32,1045
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",33,1095
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",34,1204
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",35,1309
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",36,1428
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",37,1520
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",38,1564
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",39,1547
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",40,1519
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",41,1484
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",42,1460
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",43,1417
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",44,1372
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",45,1350
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",46,1315
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",47,1304
D,DEMAND,HISTORIC,1,SA1,"2019/04/23 00:00:00",48,1454
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",1,1004
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",2,993
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",3,985
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",4,979
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",5,973
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",6,967
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",7,974
