,Date,Day_demand,Night_demand,Solar_exposure,Production,day_net,Storage_level_end_of_day,Storage_level_end_of_night
0,2018-12-01,86867.5,68238.0,30.7,160450.47999999998,73582.97999999998,15660601.0,15592363.0
1,2018-12-02,92708.75,71809.5,28.4,148429.75999999998,55721.00999999998,15660602.0,15588792.5
2,2018-12-03,96971.75,63622.25,28.0,146339.19999999998,49367.44999999998,15638159.95,15574537.7
3,2018-12-04,98099.5,60531.0,17.5,91462.0,-6637.5,15567900.2,15507369.2
4,2018-12-05,90492.25,58917.25,19.2,100346.88,9854.630000000005,15517223.83,15458306.58
5,2018-12-06,86169.25,58052.25,23.1,120729.84,34560.59,15492867.17,15434814.92
6,2018-12-07,86568.0,56718.5,13.4,70033.76000000001,-16534.23999999999,15418280.68,15361562.18
7,2018-12-08,80473.0,56425.75,12.5,65329.99999999999,-15143.000000000007,15346419.18,15289993.43
8,2018-12-09,77873.0,56749.75,22.0,114980.79999999999,37107.79999999999,15327101.23,15270351.48
9,2018-12-10,90045.5,59963.75,28.9,151042.96,60997.45999999999,15331348.940000001,15271385.190000001
10,2018-12-11,91503.25,61133.0,26.9,140590.16,49086.91,15320472.100000001,15259339.100000001
11,2018-12-12,91400.0,61864.0,30.3,158359.92,66959.92000000001,15326299.020000001,15264435.020000001
12,2018-12-13,92642.0,62083.0,25.6,133795.84,41153.84,15305588.860000001,15243505.860000001
13,2018-12-14,97003.5,62790.25,21.7,113412.88,16409.380000000005,15259915.240000002,15197124.990000002
14,2018-12-15,89952.25,61096.75,23.9,124910.95999999999,34958.70999999999,15232083.700000003,15170986.950000003
15,2018-12-16,87906.5,58551.25,0.5,2613.2,-85293.3,15085693.650000002,15027142.400000002
16,2018-12-17,94128.0,62123.25,18.8,98256.32,4128.320000000007,15031270.720000003,14969147.470000003
17,2018-12-18,95329.5,64158.5,22.1,115503.43999999999,20173.939999999988,14989321.410000002,14925162.910000002
18,2018-12-19,98136.25,64608.75,27.0,141112.8,42976.54999999999,14968139.460000003,14903530.710000003
19,2018-12-20,100899.0,67143.5,31.2,163063.68,62164.67999999999,14965695.390000002,14898551.890000002
20,2018-12-21,106394.25,65788.0,29.8,155746.72000000003,49352.47000000003,14947904.360000003,14882116.360000003
21,2018-12-22,94985.0,59747.25,20.9,109231.76,14246.759999999995,14896363.120000003,14836615.870000003
22,2018-12-23,77794.25,57811.25,28.1,146861.84,69067.59,14905683.460000003,14847872.210000003
23,2018-12-24,80218.0,53704.25,25.7,134318.47999999998,54100.47999999998,14901972.690000003,14848268.440000003
24,2018-12-25,69640.25,51908.0,26.4,137976.96,68336.70999999999,14916605.150000004,14864697.150000004
25,2018-12-26,71656.25,55788.75,29.5,154178.8,82522.54999999999,14947219.700000005,14891430.950000005
26,2018-12-27,81049.75,58629.5,29.7,155224.08,74174.32999999999,14965605.280000005,14906975.780000005
27,2018-12-28,83314.25,58633.0,28.6,149475.04000000004,66160.79000000004,14973136.570000004,14914503.570000004
28,2018-12-29,80233.5,59632.75,29.8,155746.72000000003,75513.22000000003,14990016.790000005,14930384.040000005
29,2018-12-30,82141.0,59751.0,27.9,145816.56,63675.56,14994059.600000005,14934308.600000005
30,2018-12-31,86378.75,59647.5,28.4,148429.75999999998,62051.00999999998,14996359.610000005,14936712.110000005
31,2019-01-01,81552.25,59093.75,30.3,158359.92,76807.67000000001,15013519.780000005,14954426.030000005
32,2019-01-02,89217.25,61073.25,28.3,147907.12,58689.869999999995,15013115.900000004,14952042.650000004
33,2019-01-03,90541.75,62844.5,18.8,98256.32,7714.570000000007,14959757.220000004,14896912.720000004
34,2019-01-04,90777.5,62004.25,28.9,151042.96,60265.45999999999,14957178.180000005,14895173.930000005
35,2019-01-05,86080.0,61238.0,26.4,137976.96,51896.95999999999,14947070.890000006,14885832.890000006
36,2019-01-06,85484.0,61776.25,24.7,129092.07999999997,43608.07999999997,14929440.970000006,14867664.720000006
37,2019-01-07,95019.75,61487.0,13.6,71079.04,-23940.710000000006,14843724.010000005,14782237.010000005
38,2019-01-08,89575.0,64452.0,16.7,87280.88,-2294.1199999999953,14779942.890000006,14715490.890000006
39,2019-01-09,92187.25,65506.0,14.8,77350.72,-14836.529999999999,14700654.360000007,14635148.360000007
40,2019-01-10,91252.0,65098.0,19.4,101392.15999999999,10140.159999999989,14645288.520000007,14580190.520000007
41,2019-01-11,89531.0,63118.5,27.9,145816.56,56285.56,14636476.080000008,14573357.580000008
42,2019-01-12,79989.25,62237.25,29.8,155746.72000000003,75757.47000000003,14649115.050000008,14586877.800000008
43,2019-01-13,80440.25,63208.0,27.7,144771.28,64331.03,14651208.830000008,14588000.830000008
44,2019-01-14,91596.75,65605.25,28.6,149475.04000000004,57878.29000000004,14645879.120000008,14580273.870000008
45,2019-01-15,93123.75,66572.25,27.9,145816.56,52692.81,14632966.680000009,14566394.430000009
46,2019-01-16,94882.25,67570.25,30.9,161495.75999999998,66613.50999999998,14633007.940000009,14565437.690000009
47,2019-01-17,94225.25,67121.25,28.5,148952.4,54727.149999999994,14620164.84000001,14553043.59000001
48,2019-01-18,94015.0,66800.0,27.5,143726.0,49711.0,14602754.59000001,14535954.59000001
49,2019-01-19,87321.0,66212.75,26.2,136931.67999999996,49610.679999999964,14585565.270000009,14519352.520000009
50,2019-01-20,85907.75,67018.5,27.5,143726.0,57818.25,14577170.770000009,14510152.270000009
51,2019-01-21,98492.25,68412.25,26.1,136409.04,37916.79000000001,14548069.060000008,14479656.810000008
52,2019-01-22,98294.5,69475.25,26.4,137976.96,39682.45999999999,14519339.270000009,14449864.020000009
53,2019-01-23,100130.75,69552.75,28.2,147384.47999999998,47253.72999999998,14497117.75000001,14427565.00000001
54,2019-01-24,100592.0,71250.0,29.4,153656.16,53064.16,14480629.16000001,14409379.16000001
55,2019-01-25,101573.25,69662.5,25.2,131705.28,30132.03,14439511.190000009,14369848.690000009
56,2019-01-26,88296.75,65487.25,26.6,139022.24000000002,50725.49000000002,14420574.180000009,14355086.930000009
57,2019-01-27,84695.75,65877.5,29.7,155224.08,70528.32999999999,14425615.26000001,14359737.76000001
58,2019-01-28,88108.0,67236.75,28.9,151042.96,62934.95999999999,14422672.72000001,14355435.97000001
59,2019-01-29,97558.75,68190.75,26.6,139022.24000000002,41463.49000000002,14396899.46000001,14328708.71000001
60,2019-01-30,98011.0,68129.5,25.2,131705.28,33694.28,14362402.99000001,14294273.49000001
61,2019-01-31,98018.5,68770.75,26.3,137454.32,39435.82000000001,14333709.31000001,14264938.56000001
62,2019-02-01,95425.0,65947.5,25.0,130659.99999999999,35234.999999999985,14300173.56000001,14234226.06000001
63,2019-02-02,84781.25,63197.75,24.1,125956.24,41174.990000000005,14275401.05000001,14212203.30000001
64,2019-02-03,81762.25,62104.25,19.7,102960.07999999999,21197.829999999987,14233401.13000001,14171296.88000001
65,2019-02-04,90649.5,63814.0,22.6,118116.64000000001,27467.140000000014,14198764.02000001,14134950.02000001
66,2019-02-05,90619.0,64366.25,19.3,100869.52,10250.520000000004,14145200.54000001,14080834.29000001
67,2019-02-06,91490.5,64318.0,19.6,102437.43999999999,10946.939999999988,14091781.23000001,14027463.23000001
68,2019-02-07,90950.25,64637.0,17.5,91462.0,511.75,14027974.98000001,13963337.98000001
69,2019-02-08,92756.75,65912.5,18.5,96688.4,3931.649999999994,13967269.63000001,13901357.13000001
70,2019-02-09,87962.0,66774.5,27.9,145816.56,57854.56,13959211.69000001,13892437.19000001
71,2019-02-10,88408.5,66544.75,27.5,143726.0,55317.5,13947754.69000001,13881209.94000001
72,2019-02-11,98456.0,69131.75,23.9,124910.95999999999,26454.959999999992,13907664.900000012,13838533.150000012
73,2019-02-12,103440.25,73355.5,27.9,145816.56,42376.31,13880909.460000012,13807553.960000012
74,2019-02-13,108096.25,75426.25,26.5,138499.6,30403.350000000006,13837957.310000012,13762531.060000012
75,2019-02-14,97312.5,67722.25,20.5,107141.20000000001,9828.700000000012,13772359.760000011,13704637.510000011
76,2019-02-15,89741.75,68051.75,24.3,127001.52,37259.770000000004,13741897.28000001,13673845.53000001
77,2019-02-16,79084.75,65599.25,23.1,120729.84,41645.09,13715490.62000001,13649891.37000001
78,2019-02-17,76668.75,66306.25,25.8,134841.12,58172.369999999995,13708063.74000001,13641757.49000001
79,2019-02-18,84822.25,69548.5,22.2,116026.07999999997,31203.829999999973,13672961.32000001,13603412.82000001
80,2019-02-19,87595.25,77271.25,27.7,144771.28,57176.03,13660588.850000009,13583317.600000009
81,2019-02-20,92008.5,79262.25,27.5,143726.0,51717.5,13635035.100000009,13555772.850000009
82,2019-02-21,93304.25,77876.25,21.3,111322.32,18018.070000000007,13573790.92000001,13495914.67000001
83,2019-02-22,86014.0,71269.5,22.0,114980.79999999999,28966.79999999999,13524881.47000001,13453611.97000001
84,2019-02-23,74658.75,69318.0,23.9,124910.95999999999,50252.20999999999,13503864.18000001,13434546.18000001
85,2019-02-24,71836.25,67989.75,20.8,108709.12,36872.869999999995,13471419.05000001,13403429.30000001
86,2019-02-25,80032.25,69474.25,16.6,86758.24,6725.990000000005,13410155.29000001,13340681.04000001
87,2019-02-26,79235.0,69439.75,13.9,72646.96,-6588.039999999994,13334093.000000011,13264653.250000011
88,2019-02-27,79094.0,68816.5,16.7,87280.88,8186.880000000005,13272840.130000012,13204023.630000012
89,2019-02-28,78871.5,69242.75,12.1,63239.439999999995,-15632.060000000005,13188391.570000011,13119148.820000011
90,2019-03-01,79573.75,67743.75,16.6,86758.24,7184.490000000005,13126333.310000012,13058589.560000012
91,2019-03-02,71928.0,65659.75,15.3,79963.92000000001,8035.920000000013,13066625.480000012,13000965.730000012
92,2019-03-03,70415.75,66756.25,19.6,102437.43999999999,32021.689999999988,13032987.420000011,12966231.170000011
93,2019-03-04,80802.25,69749.75,20.9,109231.76,28429.509999999995,12994660.68000001,12924910.93000001
94,2019-03-05,82531.25,71724.5,20.6,107663.84,25132.589999999997,12950043.52000001,12878319.02000001
95,2019-03-06,87443.5,74669.5,22.9,119684.56,32241.059999999998,12910560.080000011,12835890.580000011
96,2019-03-07,88130.75,74110.25,19.4,101392.15999999999,13261.409999999989,12849151.990000011,12775041.740000011
97,2019-03-08,85721.0,71217.75,19.8,103482.71999999999,17761.719999999987,12792803.460000012,12721585.710000012
98,2019-03-09,78098.0,70585.75,23.6,123343.04000000001,45245.04000000001,12766830.750000011,12696245.000000011
99,2019-03-10,77796.5,73067.5,24.1,125956.24,48159.740000000005,12744404.740000011,12671337.240000011
100,2019-03-11,94736.5,75737.5,20.3,106095.92000000001,11359.420000000013,12682696.660000011,12606959.160000011
101,2019-03-12,94522.25,78096.5,19.7,102960.07999999999,8437.829999999987,12615396.990000011,12537300.490000011
102,2019-03-13,92749.5,76295.5,24.5,128046.79999999999,35297.29999999999,12572597.790000012,12496302.290000012
103,2019-03-14,91452.75,74712.0,17.9,93552.56,2099.8099999999977,12498402.100000013,12423690.100000013
104,2019-03-15,90307.75,67915.25,18.2,95120.48,4812.729999999996,12428502.830000013,12360587.580000013
105,2019-03-16,74924.25,66125.0,9.2,48082.88,-26841.370000000003,12333746.210000014,12267621.210000014
106,2019-03-17,74479.25,66295.25,11.6,60626.23999999999,-13853.01000000001,12253768.200000014,12187472.950000014
107,2019-03-18,83748.25,68757.0,16.6,86758.24,3009.9900000000052,12190482.940000014,12121725.940000014
108,2019-03-19,79200.0,71987.0,23.6,123343.04000000001,44143.04000000001,12165868.980000013,12093881.980000013
109,2019-03-20,82990.0,77682.75,21.0,109754.4,26764.399999999994,12120646.380000014,12042963.630000014
110,2019-03-21,83446.0,77889.25,18.7,97733.68,14287.679999999993,12057251.310000014,11979362.060000014
111,2019-03-22,84267.75,77074.75,17.0,88848.79999999999,4581.049999999988,11983943.110000014,11906868.360000014
112,2019-03-23,78263.25,77468.75,22.1,115503.43999999999,37240.18999999999,11944108.550000014,11866639.800000014
113,2019-03-24,80039.0,79136.5,22.8,119161.92000000003,39122.92000000003,11905762.720000014,11826626.220000014
114,2019-03-25,87715.0,80822.0,20.6,107663.84,19948.839999999997,11846575.060000014,11765753.060000014
115,2019-03-26,87267.0,79859.25,15.4,80486.56000000001,-6780.439999999988,11758972.620000014,11679113.370000014
116,2019-03-27,83138.5,71907.5,5.3,27699.92,-55438.58,11623674.790000014,11551767.290000014
117,2019-03-28,77281.25,72598.75,9.6,50173.44,-27107.809999999998,11524659.480000013,11452060.730000013
118,2019-03-29,78029.0,73577.0,17.4,90939.36,12910.36,11464971.090000013,11391394.090000013
119,2019-03-30,75399.25,69098.75,7.4,38675.36,-36723.89,11354670.200000012,11285571.450000012
120,2019-03-31,60779.25,67116.0,21.6,112890.24,52110.990000000005,11337682.440000013,11270566.440000013
121,2019-04-01,70702.5,69696.25,19.4,101392.15999999999,30689.65999999999,11301256.100000013,11231559.850000013
122,2019-04-02,72588.0,69553.75,16.3,85190.31999999999,12602.319999999992,11244162.170000013,11174608.420000013
123,2019-04-03,73805.25,70692.25,16.5,86235.6,12430.350000000006,11187038.770000013,11116346.520000013
124,2019-04-04,72331.75,70694.0,20.4,106618.56,34286.81,11150633.330000013,11079939.330000013
