,Date,Day_demand,Night_demand,Solar_exposure,Production,day_net,Storage_level_end_of_day,Storage_level_end_of_night
0,2018-12-01,86867.5,68238.0,30.7,590594.32,503726.81999999995,197936.0,129698.0
1,2018-12-02,92708.75,71809.5,28.4,546347.84,453639.08999999997,197936.0,126126.5
2,2018-12-03,96971.75,63622.25,28.0,538652.8,441681.05000000005,197936.0,134313.75
3,2018-12-04,98099.5,60531.0,17.5,336658.0,238558.5,197936.0,137405.0
4,2018-12-05,90492.25,58917.25,19.2,369361.92,278869.67,197936.0,139018.75
5,2018-12-06,86169.25,58052.25,23.1,444388.56000000006,358219.31000000006,197936.0,139883.75
6,2018-12-07,86568.0,56718.5,13.4,257783.84000000005,171215.84000000005,197936.0,141217.5
7,2018-12-08,80473.0,56425.75,12.5,240469.99999999997,159996.99999999997,197936.0,141510.25
8,2018-12-09,77873.0,56749.75,22.0,423227.19999999995,345354.19999999995,197936.0,141186.25
9,2018-12-10,90045.5,59963.75,28.9,555966.64,465921.14,197936.0,137972.25
10,2018-12-11,91503.25,61133.0,26.9,517491.43999999994,425988.18999999994,197936.0,136803.0
11,2018-12-12,91400.0,61864.0,30.3,582899.28,491499.28,197936.0,136072.0
12,2018-12-13,92642.0,62083.0,25.6,492482.56000000006,399840.56000000006,197936.0,135853.0
13,2018-12-14,97003.5,62790.25,21.7,417455.92,320452.42,197936.0,135145.75
14,2018-12-15,89952.25,61096.75,23.9,459778.63999999996,369826.38999999996,197936.0,136839.25
15,2018-12-16,87906.5,58551.25,0.5,9618.8,-78287.7,58551.55,0.3000000000029104
16,2018-12-17,94128.0,62123.25,18.8,361666.87999999995,267538.87999999995,197936.0,135812.75
17,2018-12-18,95329.5,64158.5,22.1,425150.96,329821.46,197936.0,133777.5
18,2018-12-19,98136.25,64608.75,27.0,519415.19999999995,421278.94999999995,197936.0,133327.25
19,2018-12-20,100899.0,67143.5,31.2,600213.12,499314.12,197936.0,130792.5
20,2018-12-21,106394.25,65788.0,29.8,573280.48,466886.23,197936.0,132148.0
21,2018-12-22,94985.0,59747.25,20.9,402065.83999999997,307080.83999999997,197936.0,138188.75
22,2018-12-23,77794.25,57811.25,28.1,540576.56,462782.31000000006,197936.0,140124.75
23,2018-12-24,80218.0,53704.25,25.7,494406.3199999999,414188.3199999999,197936.0,144231.75
24,2018-12-25,69640.25,51908.0,26.4,507872.63999999996,438232.38999999996,197936.0,146028.0
25,2018-12-26,71656.25,55788.75,29.5,567509.2,495852.94999999995,197936.0,142147.25
26,2018-12-27,81049.75,58629.5,29.7,571356.7199999999,490306.96999999986,197936.0,139306.5
27,2018-12-28,83314.25,58633.0,28.6,550195.36,466881.11,197936.0,139303.0
28,2018-12-29,80233.5,59632.75,29.8,573280.48,493046.98,197936.0,138303.25
29,2018-12-30,82141.0,59751.0,27.9,536729.0399999999,454588.0399999999,197936.0,138185.0
30,2018-12-31,86378.75,59647.5,28.4,546347.84,459969.08999999997,197936.0,138288.5
31,2019-01-01,81552.25,59093.75,30.3,582899.28,501347.03,197936.0,138842.25
32,2019-01-02,89217.25,61073.25,28.3,544424.0800000001,455206.8300000001,197936.0,136862.75
33,2019-01-03,90541.75,62844.5,18.8,361666.87999999995,271125.12999999995,197936.0,135091.5
34,2019-01-04,90777.5,62004.25,28.9,555966.64,465189.14,197936.0,135931.75
