,Date,Day_demand,Night_demand,Solar_exposure,Production,day_net,Storage_level_end_of_day,Storage_level_end_of_night
0,2018-12-01,86867.5,68238.0,30.7,361867.04,274999.54,212938.0,144700.0
1,2018-12-02,92708.75,71809.5,28.4,334756.4799999999,242047.72999999992,212938.0,141128.5
2,2018-12-03,96971.75,63622.25,28.0,330041.6,233069.84999999998,212938.0,149315.75
3,2018-12-04,98099.5,60531.0,17.5,206276.0,108176.5,212938.0,152407.0
4,2018-12-05,90492.25,58917.25,19.2,226314.23999999996,135821.98999999996,212938.0,154020.75
5,2018-12-06,86169.25,58052.25,23.1,272284.32,186115.07,212938.0,154885.75
6,2018-12-07,86568.0,56718.5,13.4,157948.48,71380.48000000001,212938.0,156219.5
7,2018-12-08,80473.0,56425.75,12.5,147340.0,66867.0,212938.0,156512.25
8,2018-12-09,77873.0,56749.75,22.0,259318.40000000002,181445.40000000002,212938.0,156188.25
9,2018-12-10,90045.5,59963.75,28.9,340650.07999999996,250604.57999999996,212938.0,152974.25
10,2018-12-11,91503.25,61133.0,26.9,317075.68,225572.43,212938.0,151805.0
11,2018-12-12,91400.0,61864.0,30.3,357152.16000000003,265752.16000000003,212938.0,151074.0
12,2018-12-13,92642.0,62083.0,25.6,301752.32000000007,209110.32000000007,212938.0,150855.0
13,2018-12-14,97003.5,62790.25,21.7,255782.23999999996,158778.73999999996,212938.0,150147.75
14,2018-12-15,89952.25,61096.75,23.9,281714.07999999996,191761.82999999996,212938.0,151841.25
15,2018-12-16,87906.5,58551.25,0.5,5893.6,-82012.9,69828.35,11277.100000000006
16,2018-12-17,94128.0,62123.25,18.8,221599.36000000002,127471.36000000002,138748.46000000002,76625.21000000002
17,2018-12-18,95329.5,64158.5,22.1,260497.12000000005,165167.62000000005,212938.0,148779.5
18,2018-12-19,98136.25,64608.75,27.0,318254.39999999997,220118.14999999997,212938.0,148329.25
19,2018-12-20,100899.0,67143.5,31.2,367760.63999999996,266861.63999999996,212938.0,145794.5
20,2018-12-21,106394.25,65788.0,29.8,351258.56000000006,244864.31000000006,212938.0,147150.0
21,2018-12-22,94985.0,59747.25,20.9,246352.47999999995,151367.47999999995,212938.0,153190.75
22,2018-12-23,77794.25,57811.25,28.1,331220.32000000007,253426.07000000007,212938.0,155126.75
23,2018-12-24,80218.0,53704.25,25.7,302931.04,222713.03999999998,212938.0,159233.75
24,2018-12-25,69640.25,51908.0,26.4,311182.07999999996,241541.82999999996,212938.0,161030.0
25,2018-12-26,71656.25,55788.75,29.5,347722.4,276066.15,212938.0,157149.25
26,2018-12-27,81049.75,58629.5,29.7,350079.83999999997,269030.08999999997,212938.0,154308.5
27,2018-12-28,83314.25,58633.0,28.6,337113.92,253799.66999999998,212938.0,154305.0
28,2018-12-29,80233.5,59632.75,29.8,351258.56000000006,271025.06000000006,212938.0,153305.25
29,2018-12-30,82141.0,59751.0,27.9,328862.8799999999,246721.8799999999,212938.0,153187.0
30,2018-12-31,86378.75,59647.5,28.4,334756.4799999999,248377.72999999992,212938.0,153290.5
31,2019-01-01,81552.25,59093.75,30.3,357152.16000000003,275599.91000000003,212938.0,153844.25
32,2019-01-02,89217.25,61073.25,28.3,333577.75999999995,244360.50999999995,212938.0,151864.75
33,2019-01-03,90541.75,62844.5,18.8,221599.36000000002,131057.61000000002,212938.0,150093.5
34,2019-01-04,90777.5,62004.25,28.9,340650.07999999996,249872.57999999996,212938.0,150933.75
35,2019-01-05,86080.0,61238.0,26.4,311182.07999999996,225102.07999999996,212938.0,151700.0
36,2019-01-06,85484.0,61776.25,24.7,291143.83999999997,205659.83999999997,212938.0,151161.75
37,2019-01-07,95019.75,61487.0,13.6,160305.91999999998,65286.169999999984,212938.0,151451.0
38,2019-01-08,89575.0,64452.0,16.7,196846.23999999996,107271.23999999996,212938.0,148486.0
39,2019-01-09,92187.25,65506.0,14.8,174450.56000000003,82263.31000000003,212938.0,147432.0
40,2019-01-10,91252.0,65098.0,19.4,228671.68,137419.68,212938.0,147840.0
41,2019-01-11,89531.0,63118.5,27.9,328862.8799999999,239331.8799999999,212938.0,149819.5
42,2019-01-12,79989.25,62237.25,29.8,351258.56000000006,271269.31000000006,212938.0,150700.75
43,2019-01-13,80440.25,63208.0,27.7,326505.44,246065.19,212938.0,149730.0
44,2019-01-14,91596.75,65605.25,28.6,337113.92,245517.16999999998,212938.0,147332.75
45,2019-01-15,93123.75,66572.25,27.9,328862.8799999999,235739.1299999999,212938.0,146365.75
46,2019-01-16,94882.25,67570.25,30.9,364224.4799999999,269342.2299999999,212938.0,145367.75
47,2019-01-17,94225.25,67121.25,28.5,335935.19999999995,241709.94999999995,212938.0,145816.75
48,2019-01-18,94015.0,66800.0,27.5,324148.0,230133.0,212938.0,146138.0
49,2019-01-19,87321.0,66212.75,26.2,308824.63999999996,221503.63999999996,212938.0,146725.25
50,2019-01-20,85907.75,67018.5,27.5,324148.0,238240.25,212938.0,145919.5
51,2019-01-21,98492.25,68412.25,26.1,307645.92,209153.66999999998,212938.0,144525.75
52,2019-01-22,98294.5,69475.25,26.4,311182.07999999996,212887.57999999996,212938.0,143462.75
53,2019-01-23,100130.75,69552.75,28.2,332399.04,232268.28999999998,212938.0,143385.25
54,2019-01-24,100592.0,71250.0,29.4,346543.68,245951.68,212938.0,141688.0
55,2019-01-25,101573.25,69662.5,25.2,297037.44,195464.19,212938.0,143275.5
56,2019-01-26,88296.75,65487.25,26.6,313539.52,225242.77000000002,212938.0,147450.75
57,2019-01-27,84695.75,65877.5,29.7,350079.83999999997,265384.08999999997,212938.0,147060.5
58,2019-01-28,88108.0,67236.75,28.9,340650.07999999996,252542.07999999996,212938.0,145701.25
59,2019-01-29,97558.75,68190.75,26.6,313539.52,215980.77000000002,212938.0,144747.25
60,2019-01-30,98011.0,68129.5,25.2,297037.44,199026.44,212938.0,144808.5
61,2019-01-31,98018.5,68770.75,26.3,310003.36,211984.86,212938.0,144167.25
62,2019-02-01,95425.0,65947.5,25.0,294680.0,199255.0,212938.0,146990.5
63,2019-02-02,84781.25,63197.75,24.1,284071.52,199290.27000000002,212938.0,149740.25
64,2019-02-03,81762.25,62104.25,19.7,232207.84,150445.59,212938.0,150833.75
65,2019-02-04,90649.5,63814.0,22.6,266390.72000000003,175741.22000000003,212938.0,149124.0
66,2019-02-05,90619.0,64366.25,19.3,227492.96000000002,136873.96000000002,212938.0,148571.75
67,2019-02-06,91490.5,64318.0,19.6,231029.12000000005,139538.62000000005,212938.0,148620.0
68,2019-02-07,90950.25,64637.0,17.5,206276.0,115325.75,212938.0,148301.0
69,2019-02-08,92756.75,65912.5,18.5,218063.2,125306.45000000001,212938.0,147025.5
70,2019-02-09,87962.0,66774.5,27.9,328862.8799999999,240900.8799999999,212938.0,146163.5
71,2019-02-10,88408.5,66544.75,27.5,324148.0,235739.5,212938.0,146393.25
72,2019-02-11,98456.0,69131.75,23.9,281714.07999999996,183258.07999999996,212938.0,143806.25
73,2019-02-12,103440.25,73355.5,27.9,328862.8799999999,225422.6299999999,212938.0,139582.5
74,2019-02-13,108096.25,75426.25,26.5,312360.80000000005,204264.55000000005,212938.0,137511.75
75,2019-02-14,97312.5,67722.25,20.5,241637.59999999998,144325.09999999998,212938.0,145215.75
76,2019-02-15,89741.75,68051.75,24.3,286428.96,196687.21000000002,212938.0,144886.25
77,2019-02-16,79084.75,65599.25,23.1,272284.32,193199.57,212938.0,147338.75
78,2019-02-17,76668.75,66306.25,25.8,304109.75999999995,227441.00999999995,212938.0,146631.75
79,2019-02-18,84822.25,69548.5,22.2,261675.84,176853.59,212938.0,143389.5
80,2019-02-19,87595.25,77271.25,27.7,326505.44,238910.19,212938.0,135666.75
81,2019-02-20,92008.5,79262.25,27.5,324148.0,232139.5,212938.0,133675.75
82,2019-02-21,93304.25,77876.25,21.3,251067.36000000002,157763.11000000002,212938.0,135061.75
83,2019-02-22,86014.0,71269.5,22.0,259318.40000000002,173304.40000000002,212938.0,141668.5
84,2019-02-23,74658.75,69318.0,23.9,281714.07999999996,207055.32999999996,212938.0,143620.0
85,2019-02-24,71836.25,67989.75,20.8,245173.76,173337.51,212938.0,144948.25
86,2019-02-25,80032.25,69474.25,16.6,195667.52000000002,115635.27000000002,212938.0,143463.75
87,2019-02-26,79235.0,69439.75,13.9,163842.08,84607.07999999999,212938.0,143498.25
88,2019-02-27,79094.0,68816.5,16.7,196846.23999999996,117752.23999999996,212938.0,144121.5
89,2019-02-28,78871.5,69242.75,12.1,142625.11999999997,63753.619999999966,207875.11999999997,138632.36999999997
90,2019-03-01,79573.75,67743.75,16.6,195667.52000000002,116093.77000000002,212938.0,145194.25
91,2019-03-02,71928.0,65659.75,15.3,180344.16000000003,108416.16000000003,212938.0,147278.25
92,2019-03-03,70415.75,66756.25,19.6,231029.12000000005,160613.37000000005,212938.0,146181.75
93,2019-03-04,80802.25,69749.75,20.9,246352.47999999995,165550.22999999995,212938.0,143188.25
94,2019-03-05,82531.25,71724.5,20.6,242816.32,160285.07,212938.0,141213.5
95,2019-03-06,87443.5,74669.5,22.9,269926.87999999995,182483.37999999995,212938.0,138268.5
96,2019-03-07,88130.75,74110.25,19.4,228671.68,140540.93,212938.0,138827.75
97,2019-03-08,85721.0,71217.75,19.8,233386.56000000003,147665.56000000003,212938.0,141720.25
98,2019-03-09,78098.0,70585.75,23.6,278177.92000000004,200079.92000000004,212938.0,142352.25
99,2019-03-10,77796.5,73067.5,24.1,284071.52,206275.02000000002,212938.0,139870.5
