,Date,Day_demand,Night_demand,Solar_exposure,Production,day_net,Storage_level_end_of_day,Storage_level_end_of_night
0,2018-12-01,86867.5,68238.0,30.7,390884.68000000005,304017.18000000005,201188.0,132950.0
1,2018-12-02,92708.75,71809.5,28.4,361600.16,268891.41,201189.0,129379.5
2,2018-12-03,96971.75,63622.25,28.0,356507.19999999995,259535.44999999995,201189.0,137566.75
3,2018-12-04,98099.5,60531.0,17.5,222816.99999999997,124717.49999999997,201189.0,140658.0
4,2018-12-05,90492.25,58917.25,19.2,244462.08000000002,153969.83000000002,201189.0,142271.75
5,2018-12-06,86169.25,58052.25,23.1,294118.44000000006,207949.19000000006,201189.0,143136.75
6,2018-12-07,86568.0,56718.5,13.4,170614.15999999997,84046.15999999997,201189.0,144470.5
7,2018-12-08,80473.0,56425.75,12.5,159155.0,78682.0,201189.0,144763.25
8,2018-12-09,77873.0,56749.75,22.0,280112.8,202239.8,201189.0,144439.25
9,2018-12-10,90045.5,59963.75,28.9,367966.36,277920.86,201189.0,141225.25
10,2018-12-11,91503.25,61133.0,26.9,342501.56,250998.31,201189.0,140056.0
11,2018-12-12,91400.0,61864.0,30.3,385791.72,294391.72,201189.0,139325.0
12,2018-12-13,92642.0,62083.0,25.6,325949.44000000006,233307.44000000006,201189.0,139106.0
13,2018-12-14,97003.5,62790.25,21.7,276293.08,179289.58000000002,201189.0,138398.75
14,2018-12-15,89952.25,61096.75,23.9,304304.36,214352.11,201189.0,140092.25
15,2018-12-16,87906.5,58551.25,0.5,6366.200000000001,-81540.3,58551.95,0.6999999999970896
16,2018-12-17,94128.0,62123.25,18.8,239369.12,145241.12,145241.82,83118.57
17,2018-12-18,95329.5,64158.5,22.1,281386.04000000004,186056.54000000004,201189.0,137030.5
18,2018-12-19,98136.25,64608.75,27.0,343774.80000000005,245638.55000000005,201189.0,136580.25
19,2018-12-20,100899.0,67143.5,31.2,397250.87999999995,296351.87999999995,201189.0,134045.5
20,2018-12-21,106394.25,65788.0,29.8,379425.52,273031.27,201189.0,135401.0
21,2018-12-22,94985.0,59747.25,20.9,266107.16,171122.15999999997,201189.0,141441.75
22,2018-12-23,77794.25,57811.25,28.1,357780.44000000006,279986.19000000006,201189.0,143377.75
23,2018-12-24,80218.0,53704.25,25.7,327222.68000000005,247004.68000000005,201189.0,147484.75
24,2018-12-25,69640.25,51908.0,26.4,336135.36,266495.11,201189.0,149281.0
25,2018-12-26,71656.25,55788.75,29.5,375605.80000000005,303949.55000000005,201189.0,145400.25
26,2018-12-27,81049.75,58629.5,29.7,378152.28,297102.53,201189.0,142559.5
27,2018-12-28,83314.25,58633.0,28.6,364146.63999999996,280832.38999999996,201189.0,142556.0
28,2018-12-29,80233.5,59632.75,29.8,379425.52,299192.02,201189.0,141556.25
29,2018-12-30,82141.0,59751.0,27.9,355233.95999999996,273092.95999999996,201189.0,141438.0
30,2018-12-31,86378.75,59647.5,28.4,361600.16,275221.41,201189.0,141541.5
31,2019-01-01,81552.25,59093.75,30.3,385791.72,304239.47,201189.0,142095.25
32,2019-01-02,89217.25,61073.25,28.3,360326.92,271109.67,201189.0,140115.75
33,2019-01-03,90541.75,62844.5,18.8,239369.12,148827.37,201189.0,138344.5
34,2019-01-04,90777.5,62004.25,28.9,367966.36,277188.86,201189.0,139184.75
35,2019-01-05,86080.0,61238.0,26.4,336135.36,250055.36,201189.0,139951.0
36,2019-01-06,85484.0,61776.25,24.7,314490.27999999997,229006.27999999997,201189.0,139412.75
37,2019-01-07,95019.75,61487.0,13.6,173160.64,78140.89000000001,201189.0,139702.0
38,2019-01-08,89575.0,64452.0,16.7,212631.08,123056.07999999999,201189.0,136737.0
39,2019-01-09,92187.25,65506.0,14.8,188439.52000000002,96252.27000000002,201189.0,135683.0
40,2019-01-10,91252.0,65098.0,19.4,247008.56,155756.56,201189.0,136091.0
41,2019-01-11,89531.0,63118.5,27.9,355233.95999999996,265702.95999999996,201189.0,138070.5
42,2019-01-12,79989.25,62237.25,29.8,379425.52,299436.27,201189.0,138951.75
43,2019-01-13,80440.25,63208.0,27.7,352687.48,272247.23,201189.0,137981.0
44,2019-01-14,91596.75,65605.25,28.6,364146.63999999996,272549.88999999996,201189.0,135583.75
45,2019-01-15,93123.75,66572.25,27.9,355233.95999999996,262110.20999999996,201189.0,134616.75
46,2019-01-16,94882.25,67570.25,30.9,393431.16,298548.91,201189.0,133618.75
47,2019-01-17,94225.25,67121.25,28.5,362873.4,268648.15,201189.0,134067.75
48,2019-01-18,94015.0,66800.0,27.5,350141.0,256126.0,201189.0,134389.0
49,2019-01-19,87321.0,66212.75,26.2,333588.88,246267.88,201189.0,134976.25
50,2019-01-20,85907.75,67018.5,27.5,350141.0,264233.25,201189.0,134170.5
51,2019-01-21,98492.25,68412.25,26.1,332315.63999999996,233823.38999999996,201189.0,132776.75
52,2019-01-22,98294.5,69475.25,26.4,336135.36,237840.86,201189.0,131713.75
53,2019-01-23,100130.75,69552.75,28.2,359053.68000000005,258922.93000000005,201189.0,131636.25
54,2019-01-24,100592.0,71250.0,29.4,374332.56,273740.56,201189.0,129939.0
