C,NEMP.WORLD,LFCST_HISTDEMAND,AEMO,PUBLIC,2019/11/19,02:00:00,0000000315438505,,0000000315438504
I,DEMAND,HISTORIC,1,REGIONID,SETTLEMENTDATE,PERIODID,DEMAND
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",1,6651
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",2,6521
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",3,6286
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",4,6128
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",5,6064
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",6,6069
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",7,6106
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",8,6186
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",9,6390
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",10,6597
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",11,6985
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",12,7329
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",13,7591
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",14,7682
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",15,7671
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",16,7561
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",17,7507
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",18,7404
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",19,7353
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",20,7292
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",21,7211
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",22,7172
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",23,7143
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",24,7107
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",25,7141
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",26,7220
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",27,7330
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",28,7484
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",29,7588
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",30,7796
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",31,8022
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",32,8279
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",33,8442
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",34,8612
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",35,8619
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",36,8665
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",37,8545
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",38,8520
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",39,8507
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",40,8355
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",41,8174
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",42,7935
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",43,7805
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",44,7648
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",45,7590
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",46,7482
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",47,7360
D,DEMAND,HISTORIC,1,NSW1,"2019/11/18 00:00:00",48,7310
D,DEMAND,HISTORIC,1,QLD1,"2019/11/18 00:00:00",1,5667
D,DEMAND,HISTORIC,1,QLD1,"2019/11/18 00:00:00",2,5530
D,DEMAND,HISTORIC,1,QLD1,"2019/11/18 00:00:00",3,5462
D,DEMAND,HISTORIC,1,QLD1,"2019/11/18 00:00:00",4,5383
D,DEMAND,HISTORIC,1,QLD1,"2019/11/18 00:00:00",5,5351
D,DEMAND,HISTORIC,1,QLD1,"2019/11/18 00:00:00",6,5312
D,DEMAND,HISTORIC,1,QLD1,"2019/11/18 00:00:00",7,5303
D,DEMAND,HISTORIC,1,QLD1,"2019/11/18 00:00:00",8,5322
D,DEMAND,HISTORIC,1,QLD1,"2019/11/18 00:00:00",9,5387
D,DEMAND,HISTORIC,1,QLD1,"2019/11/18 00:00:00",10,5394
D,DEMAND,HISTORIC,1,QLD1,"2019/11/18 00:00:00",11,5497
D,DEMAND,HISTORIC,1,QLD1,"2019/11/18 00:00:00",12,5615
D,DEMAND,HISTORIC,1,QLD1,"2019/11/18 00:00:00",13,5838
