C,NEMP.WORLD,LFCST_HISTDEMAND,AEMO,PUBLIC,2019/09/01,02:00:00,0000000312246522,,0000000312246521
I,DEMAND,HISTORIC,1,REGIONID,SETTLEMENTDATE,PERIODID,DEMAND
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",1,8572
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",2,8287
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",3,8054
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",4,7778
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",5,7429
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",6,7173
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",7,6958
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",8,6797
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",9,6742
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",10,6748
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",11,6891
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",12,7065
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",13,7389
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",14,7718
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",15,8028
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",16,8255
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",17,8525
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",18,8525
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",19,8462
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",20,8229
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",21,8167
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",22,7982
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",23,7836
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",24,7741
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",25,7615
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",26,7569
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",27,7472
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",28,7459
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",29,7504
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",30,7563
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",31,7645
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",32,7840
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",33,8019
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",34,8346
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",35,8728
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",36,9238
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",37,9563
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",38,9512
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",39,9373
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",40,9164
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",41,9048
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",42,8903
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",43,8760
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",44,8621
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",45,8553
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",46,8384
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",47,8245
D,DEMAND,HISTORIC,1,NSW1,"2019/08/31 00:00:00",48,8090
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",1,5593
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",2,5404
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",3,5277
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",4,5150
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",5,5113
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",6,5067
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",7,5026
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",8,5014
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",9,4999
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",10,5023
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",11,5140
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",12,5227
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",13,5404
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",14,5524
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",15,5566
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",16,5516
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",17,5426
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",18,5298
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",19,5135
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",20,4967
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",21,4842
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",22,4761
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",23,4668
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",24,4625
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",25,4644
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",26,4672
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",27,4713
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",28,4773
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",29,4848
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",30,5044
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",31,5247
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",32,5447
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",33,5740
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",34,5994
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",35,6224
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",36,6431
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",37,6651
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",38,6692
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",39,6608
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",40,6558
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",41,6553
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",42,6386
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",43,6302
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",44,6222
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",45,6155
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",46,6090
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",47,5933
D,DEMAND,HISTORIC,1,QLD1,"2019/08/31 00:00:00",48,5709
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",1,1389
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",2,1324
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",3,1200
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",4,1124
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",5,1073
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",6,1044
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",7,998
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",8,968
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",9,954
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",10,950
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",11,968
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",12,985
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",13,1031
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",14,1138
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",15,1178
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",16,1151
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",17,1124
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",18,1068
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",19,1000
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",20,904
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",21,795
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",22,703
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",23,656
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",24,639
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",25,619
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",26,621
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",27,622
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",28,652
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",29,732
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",30,740
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",31,743
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",32,796
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",33,944
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",34,1101
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",35,1235
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",36,1349
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",37,1428
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",38,1498
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",39,1514
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",40,1499
D,DEMAND,HISTORIC,1,SA1,"2019/08/31 00:00:00",41,1482
